ID,IV
178,4.61278455202339
539,5.45324736613766
415,NA
157,6.01864142669163
552,5.98658988373606
99,6.53230394134648
214,3.42291495680506
444,5.47800765493871
383,5.24711882096502
361,5.36487060114224
150,2.23043997546288
16,6.16867938661925
248,4.11850879712033
276,5.07564761372129
431,5.61163383858163
582,3.62335238678369
416,3.32448414769912
686,4.57721375062133
634,5.21213356209932
572,NA
638,4.8815891782862
543,5.37197983646639
314,4.38841960736547
461,NA
606,NA
652,3.21510987203244
489,4.97669760733603
424,NA
464,4.38392153137207
242,6.15300885538765
344,2.66570778016492
363,5.30091270327789
194,4.25930449225488
294,4.56768773938839
373,4.49628416991562
199,4.51804478489429
570,5.04472207661857
465,7.1585786601758
354,NA
605,5.93799145513131
136,5.16949840255021
69,5.58367785342081
44,NA
396,3.04325915087218
574,NA
571,3.58883470252977
145,5.03528329293292
417,4.97962152103926
138,4.88145048156258
148,3.431806629119
567,5.75456939198985
170,5.74120999295174
80,4.44005621415206
84,5.92754202446543
92,5.31822051087129
323,4.50379809737181
134,5.3634923559001
124,3.42895615894848
263,3.33089462700025
643,5.36267120924124
275,5.21584049817834
427,6.70062186692724
330,NA
60,5.08416550206735
645,4.41259276259622
620,4.63545928930248
584,4.43924231738112
670,4.45659821075327
420,4.51730094242242
335,4.97002279140168
258,4.55016199895794
59,5.52836000146408
63,4.94613538360003
641,4.10378982496447
72,4.12287656892063
299,4.19989062236748
410,4.79656589853319
324,4.57914779670202
47,3.37702103530468
183,5.66117200950646
218,4.56498383175034
226,5.00575289175817
135,6.7026791551819
315,4.16330827453557
55,5.31181092866144
589,4.56349691298747
662,4.88103938572524
329,5.65707234108465
683,4.1953915872336
559,5.86571280061327
403,5.89901925273534
346,5.25110313657741
35,4.988315218811
591,6.13593564570841
568,5.42741812796106
414,NA
235,3.6234280308147
110,5.59917863782274
681,4.60618483568146
86,2.12454916544297
668,6.38683141879729
434,5.47688056933699
259,5.56422967776209
349,3.70338273860028
517,4.48460713932071
206,3.86977872256719
261,4.32901952104751
295,6.41727696837981
163,5.07306741835412
553,4.11409629026099
437,3.9978238597629
255,4.51560604455
511,5.04973497279411
338,4.69983496478293
36,4.7779609694319
81,4.87573333867126
496,NA
54,NA
198,4.88694027650836
162,NA
425,NA
672,2.68518836966146
337,4.07596144928528
647,5.40450529199497
143,4.44763949926651
340,5.58199289407704
400,5.09494250317271
200,5.73665600427329
409,5.83744518327232
334,5.65962471317982
101,2.90924295515847
402,3.68031250682732
542,5.12010159161009
217,NA
12,5.07031958668352
629,NA
614,6.00811638793868
580,4.08386718261161
213,5.75453080807144
549,3.65979894649081
502,NA
595,5.02768233258857
493,5.96409718952907
8,5.31485895698324
477,5.91886244113645
331,5.85102670674512
87,4.47418139887011
657,5.42746756888615
678,NA
286,2.78690725784237
362,NA
576,3.74664250072293
227,4.39232021959393
469,4.68045668664039
