ID,IV
120,4.39469073484999
89,4.34208693705386
7,3.9128042322859
192,5.96545362376714
78,5.30015082215007
502,4.15979450321783
288,6.00482857930704
48,6.15680382027577
236,4.24527373042548
116,4.71936574440751
96,2.95931600502413
271,4.95503919291489
560,NA
457,4.11477300267117
344,4.99689186470097
60,6.07977792222661
130,5.87852141533618
426,2.68539195270147
315,5.20592631689992
74,3.00772660856191
242,1.99306626800268
592,4.39287242501853
572,4.57791677107977
316,6.42598941526464
104,NA
304,5.07338843188428
56,3.91456862459309
151,5.24492564226254
402,4.81230764932347
71,5.4029784409512
575,4.56749905468229
101,5.19907094666296
125,5.32962417405894
449,5.97694423129455
420,5.14487120258473
411,3.70887905660652
108,5.31071085375628
352,3.70269132795172
79,6.83301396417939
69,2.98342715512439
146,5.78082797659511
481,4.47285654306732
216,4.19749088975516
246,4.3499977307958
403,5.21391787315288
227,NA
609,5.66329730315664
27,3.91084389721935
537,5.62620590277242
357,4.40238955914534
53,4.9034907332773
197,5.16405505438786
182,3.67699851311007
204,2.74778423310924
92,5.75555885012092
505,6.33805962980754
621,4.95435260509797
111,5.66500039089525
446,NA
406,5.72881328301056
510,6.24029206244499
77,4.83174466414232
200,4.29727477835433
463,5.55978895891401
241,NA
217,5.06091723135342
470,4.20866698293138
83,4.92376111639094
224,4.900597315303
185,NA
436,5.23156409859123
329,5.93353989510481
396,4.07952038175468
218,5.68454721610135
345,4.36957295149735
189,4.65976933001752
93,4.61501242872256
272,2.17747204150022
184,4.06149593953655
219,3.18509530071282
306,6.0677440527848
601,4.94727132077485
61,5.53570185668923
466,5.34752960141233
618,3.85893058263744
122,NA
471,4.98891059729663
73,5.41421685146202
584,6.50100776944948
2,3.44792707847859
613,3.07610892717226
578,6.25375981985982
573,3.42642981058946
605,4.79718467747762
543,NA
346,4.42175609601097
215,5.92012363992234
501,4.3994359870695
196,4.83562698372387
387,5.41445961345002
136,3.57943610125986
374,6.96785652841914
460,5.72597344909869
186,NA
582,6.03749428335486
193,5.48397693564433
503,4.14685114871136
138,6.15758061310181
476,3.57224995530541
553,3.44532837934189
55,NA
194,5.018431173398
147,4.37980219106758
32,5.2883926803077
422,6.45986843581711
547,2.49499254768218
281,4.52319739753213
180,5.21272898788763
525,NA
478,3.28796734753408
440,4.0144113418641
614,5.67976895809075
419,3.71808158578186
