"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
22558.4542667042,8.22446358506568,9.66087423148565,7.64758943580091,8.75436465605162,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1
14156.8258904652,7.91514648823068,6.17391486885026,6.69382697436959,6.15182126290165,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1
12837.7790676199,8.04913243628107,5.12023930787109,6.67179222917184,7.16829780372791,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
19125.1585567337,8.10961857321672,9.28030191804282,6.80551528115757,9.00947923306376,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0
14391.3767434985,7.88970257388428,8.30951815587468,8.5220440896228,7.84468872123398,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1
14856.2638726642,8.32029806217179,5.32249803771265,6.57588905538432,9.02775671565905,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
13125.4430129122,5.35996929975227,6.67087595793419,6.51951055042446,6.36368685751222,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1
22654.784982245,8.25689575285651,7.2412419016473,9.10162402200513,9.7323155135382,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1
17570.4839576663,8.16237237420864,8.0228500708472,9.56458371947519,6.09316603397019,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1
12072.9638891096,5.79125131480396,5.92336653033271,8.77738128066994,8.91847699997015,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0
11448.4331970589,9.03461443842389,7.31682206154801,7.67339288024232,7.22488861647435,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1
18059.0097112518,9.81907981797121,6.988988625817,6.65790417348035,7.40055623464286,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0
31499.9282712482,8.49252910818905,8.97086934535764,8.25311267748475,9.50007474748418,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1
16280.2561371334,7.18380919774063,7.89031267398968,5.39035756839439,7.84544092719443,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1
13147.4111142337,6.28202221821994,5.56270227301866,6.93090395303443,9.07089202199131,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1
10706.0146174604,5.2527363691479,8.18148516234942,6.5264794183895,6.37264201068319,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1
10746.1566020596,6.47708799806423,5.22604225203395,7.28223806712776,8.94379102974199,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1
16723.8007114858,9.67578336596489,6.8860100954771,9.94822856271639,7.25907425396144,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1
11048.7907999843,9.01316730771214,6.21591288363561,5.81568957306445,6.00079111056402,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1
16144.9893944034,9.7787181311287,6.68527983594686,5.64022178296,9.36114029027522,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0
18097.6279924625,7.00436370447278,9.63903239346109,7.32550830463879,6.74880620907061,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1
22360.220538037,5.07101497612894,9.56881304271519,6.70540738850832,8.12448526150547,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0
13268.6087768937,6.84935110271908,6.86300645582378,8.88185566524044,9.41760691348463,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1
22702.1818971254,6.22733364929445,9.24300008104183,6.9159611093346,5.15713809872977,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0
14391.9346359091,8.26014975551516,7.70605612080544,9.17119165533222,6.92214273149148,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1
13846.7669075683,9.97416767757386,5.43038416770287,7.35551360994577,5.48728752881289,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0
10381.9775677327,5.41128764394671,5.01264776452444,7.62811260879971,6.61993761896156,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1
18362.3263944351,5.53389408974908,8.35492088343017,7.85519184079021,8.6618782079313,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1
17117.0562570365,6.59249248099513,7.13968259165995,8.77743453136645,8.56809724937193,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1
15383.6673080173,7.26282431860454,7.36489110160619,7.69184820121154,8.8046601426322,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0
14891.1431487015,5.81584657542408,8.05861524655484,6.66972054750659,8.21330342558213,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0
14165.6903070476,6.48487687460147,6.38297002064064,7.46425776276737,9.22428872901946,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1
8144.78244354563,8.49035506951623,5.22976168780588,9.50900438241661,5.47919748001732,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0
21454.9378557807,9.9039998347871,9.48060114402324,7.84403492463753,9.57434165407903,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
13750.1516020028,5.30591687071137,7.02351598651148,6.65489156497642,6.80220385198481,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0
9843.99271009108,9.01129499776289,5.0478857755661,8.72795202769339,5.12618950684555,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1
25206.8937249971,8.88401129748672,9.50264816870913,6.77075408166274,9.29238209617324,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1
22748.9999863896,8.73659221804701,9.23568114754744,7.96766667626798,9.27493807044812,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1
19387.4315521559,5.35403138608672,7.44384814519435,6.62660720525309,7.69231567508541,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1
16584.9231674889,6.91328863496892,8.38058881810866,6.65816769585945,5.52649650140665,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0
19349.0492522784,5.11494691600092,7.67696605529636,8.62824491690844,9.88370030419901,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1
31204.838488088,7.33787171076983,9.2883824580349,9.53149533248506,6.5222170506604,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1
13334.333303823,6.30613586981781,5.15228519099765,6.26578578376211,7.22825214732438,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1
17398.6642623644,9.38082203734666,9.01226685964502,5.0207185302861,5.14724615844898,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0
13599.6276271152,9.40985516645014,8.21518043405376,6.03172360686585,6.49540084879845,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1
