"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
35731.784371262,8.25003513833508,9.28315088618547,11.7781604034826,9.98232763959095,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1
22054.4620819285,8.75059764599428,11.6389986360446,14.017781347502,13.5194358904846,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0
28578.6287586774,12.1177454222925,7.75720480363816,12.905446945224,9.60480094188824,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0
17127.5409830556,9.66121307807043,6.34286145213991,14.91423251573,9.13403100566939,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1
21139.2639718523,8.80996226565912,12.9716499708593,12.1006139460951,14.1251664375886,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1
52420.361810991,12.9141196841374,9.62148835649714,9.79603117564693,13.1196161778644,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0
30159.6904285039,10.4200531099923,7.99471670761704,11.3548399601132,14.1483340156265,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1
49081.1406624251,7.97578215831891,7.76253983844072,7.93030081316829,14.6055209753104,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0
72411.6399258815,14.2011760198511,13.18819739623,9.37129710102454,8.62151269102469,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0
49487.4960361073,13.4177962783724,10.6868836283684,13.5946686100215,6.30037491675466,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1
44216.6743129438,7.59052916197106,14.9576304433867,11.3174863485619,14.9837860278785,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1
50884.5388170318,12.8747508022934,12.6070763356984,8.12410777667537,12.0421464554965,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1
26049.2205209067,10.1261930773035,12.6649262872525,8.01778194960207,6.27319592516869,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0
40037.7981187543,11.2863217084669,5.71185935055837,10.397439005319,5.96952085383236,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1
28041.1134748839,12.0045957318507,5.26788358809426,10.1707337494008,14.271432114765,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1
12344.8577431776,8.11529920203611,6.10199712682515,13.926585870795,8.73182334471494,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1
54166.4190380666,8.89296910492703,12.0259180804715,13.6127073294483,13.3043350512162,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0
65576.6303998301,13.4661605022848,10.8219048008323,14.6559137874283,8.56190315680578,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0
33286.839533334,12.5648449873552,12.7526560425758,8.74317477922887,11.9921344984323,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0
59685.0393214749,11.4623418403789,9.01594723574817,9.61806680774316,10.6745696696453,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0
