"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
75461.6210981894,5.59650417184457,14.242852779571,6.64347987622023,8.18246730836108,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0
128051.163388001,11.4708733651787,8.99807266425341,13.6322972201742,9.71743434434757,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
51321.4214209438,13.2561440160498,9.14650824852288,5.10718409670517,12.4335493473336,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1
101381.168499663,5.68820514483377,11.7238849471323,7.79846902471036,13.8750435644761,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1
71815.8651032581,5.13267119880766,9.55132843926549,10.4564278223552,14.4953041733243,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0
71549.301504569,9.92388623068109,14.4854301051237,8.32772488472983,11.1896131420508,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
163433.63095417,8.22042196756229,12.8673657122999,11.5981084201485,13.3317527663894,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0
71078.1084010308,13.3366319397464,12.562488403637,13.0220069759525,5.73469540569931,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0
72874.33663711,5.83434491185471,13.3564827521332,12.5139566743746,9.98357541626319,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
116743.266853977,7.02953016385436,12.0373742259108,9.9400123115629,12.0895405043848,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1
63432.8463261141,12.2362506901845,5.7792195235379,7.2840436338447,12.8459725133143,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
97380.52591359,5.56025760481134,10.9677085489966,11.233053971082,11.0852623241954,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1
69772.9334272714,12.6783044706099,8.95934202941135,5.53816573461518,7.27426117751747,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1
117593.283985362,12.8102634381503,10.6653408077545,8.34357607644051,14.0691597573459,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
98536.8852980148,11.9346004608087,7.74395500775427,9.99207292450592,9.56751613412052,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
134095.395563104,11.1160943447612,11.1469488567673,9.80137749807909,8.20755496853963,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1
52193.734642748,6.86102662002668,11.182213188149,6.48891808930784,5.88612220715731,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
46001.3613928619,8.74635867774487,9.66261585708708,8.3975916588679,6.59381109988317,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0
70974.816722147,12.7830111631192,13.2147943647578,6.56499131582677,7.72927629994228,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
127701.204996471,5.30309159774333,14.9894992168993,8.56032648356631,14.3697628448717,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0
77495.9194728913,6.21156643610448,10.1698785461485,12.3043920472264,10.1959232566878,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
33120.8440853306,7.77359313797206,5.34428504062817,6.2841758178547,8.97730850381777,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1
51544.2125193952,5.73430191492662,6.19438412599266,9.18115809792653,9.6180190728046,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
